pop	clust1	clust2	clust3	clust4
halfpounder	0.3130	0.1198	0.2404	0.3268
halfpounder	0.4508	0.1067	0.0703	0.3722
halfpounder	0.2829	0.1003	0.3773	0.2395
halfpounder	0.2069	0.1207	0.4796	0.1928
halfpounder	0.3141	0.0723	0.1707	0.4429
halfpounder	0.3783	0.0663	0.3198	0.2356
halfpounder	0.4296	0.0810	0.0892	0.4002
halfpounder	0.2679	0.0650	0.3956	0.2715
halfpounder	0.3819	0.2490	0.0703	0.2988
halfpounder	0.3810	0.0461	0.2546	0.3183
halfpounder	0.5297	0.0320	0.0999	0.3384
halfpounder	0.3201	0.1026	0.2034	0.3739
halfpounder	0.2673	0.0823	0.1380	0.5123
halfpounder	0.4213	0.0633	0.1971	0.3183
halfpounder	0.3802	0.0354	0.2641	0.3202
halfpounder	0.4089	0.1064	0.1635	0.3212
halfpounder	0.4003	0.0846	0.1610	0.3541
halfpounder	0.0916	0.0982	0.6872	0.1230
halfpounder	0.5550	0.1296	0.1373	0.1781
halfpounder	0.1747	0.3310	0.3490	0.1453
halfpounder	0.1787	0.1340	0.4882	0.1990
halfpounder	0.4753	0.0779	0.2074	0.2394
halfpounder	0.1274	0.5391	0.0766	0.2569
halfpounder	0.3607	0.0421	0.2454	0.3518
halfpounder	0.4251	0.1785	0.0766	0.3199
halfpounder	0.1716	0.2701	0.3183	0.2400
halfpounder	0.3981	0.1448	0.2225	0.2346
halfpounder	0.2364	0.5701	0.0851	0.1084
halfpounder	0.2870	0.0988	0.3564	0.2578
halfpounder	0.5389	0.1486	0.0852	0.2273
halfpounder	0.3987	0.0867	0.2541	0.2605
halfpounder	0.2535	0.0806	0.3527	0.3132
halfpounder	0.2307	0.0723	0.3635	0.3335
halfpounder	0.3274	0.1476	0.3430	0.1820
halfpounder	0.1467	0.2671	0.1448	0.4414
halfpounder	0.2975	0.3382	0.0687	0.2956
halfpounder	0.1031	0.0887	0.5945	0.2137
halfpounder	0.1674	0.1906	0.3241	0.3179
halfpounder	0.6448	0.0391	0.0740	0.2420
halfpounder	0.3014	0.1777	0.3159	0.2050
halfpounder	0.1573	0.1028	0.2288	0.5111
halfpounder	0.5666	0.1226	0.1421	0.1687
halfpounder	0.2855	0.2003	0.2772	0.2370
